prediction_window,model,n_test,n_bootstrap,accuracy,accuracy_ci_lower,accuracy_ci_upper,precision,precision_ci_lower,precision_ci_upper,recall,recall_ci_lower,recall_ci_upper,f1,f1_ci_lower,f1_ci_upper,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,balanced_accuracy,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,tn,fp,fn,tp
day_7,XGBoost,6519,1000,0.7073170731707317,0.6962724344224575,0.717751955821445,0.7365823565700185,0.7218978446649378,0.7517722084713316,0.6937826844857641,0.6780581941319024,0.7089901157195101,0.7145421903052065,0.7022056179587656,0.7259766915408066,0.7789676154377372,0.768132663475875,0.7895272707236634,0.8041911779170687,0.7910695012228276,0.8168047704591246,0.7081198115311498,0.6975318553458209,0.7185916172697207,2223,854,1054,2388
day_14,XGBoost,6519,1000,0.7116122104617273,0.7008705322902286,0.7218936953520478,0.7465277777777778,0.7308472544498892,0.7621934968124596,0.6871005229517723,0.6708709464551978,0.7020334613344112,0.7155824508320726,0.702852244571895,0.7272471169341086,0.7927083417917458,0.7824687627924866,0.8029978857477343,0.8254951083251584,0.8138834481660749,0.8368298245608112,0.7130660235818335,0.7020302882775352,0.7234433631087048,2274,803,1077,2365
day_28,XGBoost,6519,1000,0.7636140512348519,0.7530296057677558,0.7732781101395919,0.81630615640599,0.8025263004006791,0.8305184823696345,0.7126670540383498,0.695594461829165,0.7270688280586571,0.7609740964789825,0.749128419189177,0.7719738256393878,0.8503195721966335,0.8413006983825587,0.8589554541019471,0.8832185448773401,0.8741604549244661,0.8911972267040089,0.7666357694631138,0.7563764669200211,0.7762925202789885,2525,552,989,2453
day_56,XGBoost,6519,1000,0.8094799815922687,0.7998159226875288,0.8183808866390551,0.8585397653194263,0.8459729160705122,0.8720118418461135,0.7652527600232423,0.7514904410589383,0.7782649462606359,0.8092165898617512,0.7984249963478957,0.8191773160603579,0.8918490866897415,0.884711612127793,0.8987330324592492,0.9185809528222727,0.9119457341880745,0.9248238976274022,0.812103143092544,0.8025121279829193,0.8208204023497286,2643,434,808,2634
full,XGBoost,6519,1000,0.9461573861021629,0.940631231784016,0.9512195121951219,0.9780389730900093,0.9725188216468613,0.9830031171971647,0.9186519465427078,0.909789371825367,0.9275844725461057,0.9474157303370786,0.9416235649836533,0.9525981756652138,0.985792227652182,0.9835452645663558,0.9879215816211673,0.9894895678678277,0.98776800812518,0.9910948236105134,0.9477887617016432,0.9424507235989869,0.9526704889976758,3006,71,280,3162
