prediction_window,model,cohort,n_before_filter,n_after_filter,n_excluded,at_risk_rate_after_filter,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
day_7,XGBoost,exclude_withdrawn_on_or_before_prediction_day,32593,29178,3415,0.4727191719788882,0.6652956298200514,0.6444205238607822,0.6511965192168238,0.6477908025247971,0.7223809932307892,0.6950092250603459,0.664564785445266,2086,991,962,1796
day_14,XGBoost,exclude_withdrawn_on_or_before_prediction_day,32593,28119,4474,0.45286105480280237,0.6830873199359773,0.64947245017585,0.6525323910482921,0.6509988249118684,0.7488145491546954,0.702505748413817,0.6804599536515843,2179,897,885,1662
day_28,XGBoost,exclude_withdrawn_on_or_before_prediction_day,32593,27538,5055,0.44131745224780305,0.7198620188816267,0.691875540190147,0.6585767174002468,0.6748155953635405,0.7906580410356051,0.7720474324159741,0.7134287551902112,2364,713,830,1601
day_56,XGBoost,exclude_withdrawn_on_or_before_prediction_day,32593,26522,6071,0.4199155418143428,0.7626319758672699,0.7304761904761905,0.688819039066008,0.7090362837993991,0.83330295503277,0.8136050880203111,0.752436818850521,2511,566,693,1534
full,XGBoost,exclude_withdrawn_on_or_before_prediction_day,32593,22522,10071,0.31689015185152297,0.9200710479573713,0.8807994289793005,0.8647512263489839,0.8727015558698727,0.9692503482787843,0.9535576388881669,0.9052387915950315,2910,167,193,1234
