prediction_window,feature_group,model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,n_repeats
day_14,demographic_vle_assessment,XGBoost,0.7099024477529402,0.004584579893451426,0.7022092666462105,0.7157103405952746,0.7452911119113727,0.004458362016156547,0.7368584758942457,0.7512023084321898,0.6844972838590997,0.010781644806281753,0.6608544027898866,0.6961951786232936,0.7135537303211181,0.0061173698018103535,0.7008784096162737,0.7202524038461539,0.7872708024328835,0.005177174426310091,0.77804108006861,0.7934432960012965,0.8209529361685834,0.005856241438423917,0.8079267057344675,0.8273619875950212,0.7114069129727738,0.004383290309100341,0.7046553456913359,0.7170469713845646,10
day_28,demographic_vle_assessment,XGBoost,0.7596072055192302,0.0042918200741389355,0.7511506597115679,0.7641914697760049,0.810592997093315,0.00465763899590442,0.8034357449620085,0.8166890080428955,0.7107656097582927,0.0060457149920302355,0.6986341179889567,0.7195582679453647,0.7573932222304629,0.00466492481875897,0.7477449455676516,0.7631376175065495,0.8445685567988026,0.003676952360831544,0.8372833399304511,0.8503195721966335,0.878571321033952,0.0032051285407238474,0.8715382435895486,0.8832185448773401,0.7625001269460947,0.004254741344453349,0.7542569354975658,0.76683145766459,10
day_56,demographic_vle_assessment,XGBoost,0.8088210363619363,0.003068787846122777,0.8040810064436944,0.8142068119054925,0.8630420661286587,0.0034860545431178924,0.8585397653194263,0.867573846664454,0.75824495904687,0.007625317325226587,0.7442603894216797,0.7692531240918338,0.8072287841921725,0.003910805771013398,0.8004375683700579,0.8138355111452729,0.8910387937155942,0.0026032708597588357,0.8863185787399778,0.8939514015782272,0.9181163962207144,0.0020750775379833543,0.9144456007831789,0.920563010777421,0.8118166621688688,0.0028841575047355472,0.8076193074830206,0.8168657560660664,10
day_7,demographic_vle_assessment,XGBoost,0.6983046473952534,0.005177037478646029,0.6894752991715251,0.7073170731707317,0.7273694894595557,0.004964486541661718,0.7179409993979531,0.7365823565700185,0.6855721727296876,0.012408952725678797,0.6617262423714037,0.6959047342433924,0.7057906016874997,0.006912328036586404,0.6943521594684385,0.7145421903052065,0.7698000278671218,0.005694218462607877,0.7581675577261978,0.7789676154377372,0.7992976125065154,0.005755307677028885,0.7856090733643266,0.8046640554585682,0.6990584295562641,0.004954854666750402,0.6907384493533549,0.7081198115311498,10
full,demographic_vle_assessment,XGBoost,0.9446191461492445,0.001766012440392623,0.94201564657156,0.9476833384473765,0.9749791797155378,0.0031411047117634616,0.9696876913655849,0.9809136420525657,0.9186981208306284,0.004580061998987344,0.9110723626852659,0.9256030223772159,0.9459902688820252,0.0018240476457144844,0.9432773109243697,0.9491879004619281,0.9853437425805401,0.0007341708367396126,0.9838916043954465,0.9861623918570883,0.9891930863639258,0.0004705020745801644,0.9882007583506788,0.9897940314574379,0.9461543902820674,0.0016815176964129616,0.9437287709585296,0.9489893564924754,10
