validation,prediction_window,feature_group,model,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp,n_folds
stratified_student_group_train_test,day_56,demographic_vle_assessment,Logistic Regression,0.8079460039883418,0.8684387617765814,0.7498547356188263,0.8048019956345495,0.8851120674336426,0.9119305128388278,0.8113914562072032,2686,391,861,2581,
stratified_student_group_train_test,day_56,demographic_vle_assessment,Decision Tree,0.795674183156926,0.8757122507122507,0.7144102266124346,0.78688,0.8711693305866074,0.9001400594123636,0.8004940310832729,2728,349,983,2459,
stratified_student_group_train_test,day_56,demographic_vle_assessment,Random Forest,0.8094799815922687,0.8683858004018754,0.7533410807669959,0.8067828251400124,0.8876716381044569,0.9154691788408824,0.8128096369060849,2684,393,849,2593,
stratified_student_group_train_test,day_56,demographic_vle_assessment,Linear SVM,0.8084061972695199,0.8784949948222299,0.7393957001743172,0.80296576747121,0.8851652256049787,0.9102366416679839,0.8124992800514095,2725,352,897,2545,
stratified_student_group_train_test,day_56,demographic_vle_assessment,XGBoost,0.8094799815922687,0.8585397653194263,0.7652527600232423,0.8092165898617512,0.8918490866897415,0.9185809528222727,0.812103143092544,2643,434,808,2634,
stratified_student_group_train_test,day_56,demographic_vle_assessment,LightGBM,0.810860561435803,0.8715102589976454,0.752760023242301,0.8077942322681216,0.890856265781037,0.9176371906299448,0.8143065634573545,2695,382,851,2591,
stratified_student_group_train_test,day_56,demographic_vle_assessment,CatBoost,0.8130081300813008,0.8781898604967676,0.7498547356188263,0.8089641122081178,0.8919530425452321,0.9186486964962812,0.8167538221480547,2719,358,861,2581,
stratified_student_group_train_test,day_56,demographic_vle_assessment,Stacking Ensemble,0.8090197883110907,0.8665331998665332,0.7545031958163858,0.8066469948749806,0.886860621918502,0.9136029639777774,0.812253222867569,2677,400,845,2597,
groupkfold_course_presentation,day_56,demographic_vle_assessment,XGBoost,0.7932589749632355,0.8308377687595249,0.7678900081599753,0.7969606110111422,0.8803302147302228,0.9106072369677266,0.7954748459839097,12641,2744,3995,13213,5.0
leave_one_course_presentation_out,day_56,demographic_vle_assessment,XGBoost,0.7846457924393261,0.8135883365096173,0.7113537929316741,0.7514300218132678,0.8663078252476215,0.868957712485784,0.7700311214180374,12524,2861,3985,13223,22.0
