validation,seed,prediction_window,feature_group,model,n_train,n_test,test_at_risk_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
repeated_stratified_student_group_train_test,42,day_56,demographic_vle_assessment,Logistic Regression,26074,6519,0.5279950912716674,0.8079460039883418,0.8684387617765814,0.7498547356188263,0.8048019956345495,0.8851120674336426,0.9119305128388278,0.8113914562072032,2686,391,861,2581
repeated_stratified_student_group_train_test,42,day_56,demographic_vle_assessment,Decision Tree,26074,6519,0.5279950912716674,0.795674183156926,0.8757122507122507,0.7144102266124346,0.78688,0.8711693305866074,0.9001400594123636,0.8004940310832729,2728,349,983,2459
repeated_stratified_student_group_train_test,42,day_56,demographic_vle_assessment,Random Forest,26074,6519,0.5279950912716674,0.8094799815922687,0.8683858004018754,0.7533410807669959,0.8067828251400124,0.8876716381044569,0.9154691788408824,0.8128096369060849,2684,393,849,2593
repeated_stratified_student_group_train_test,42,day_56,demographic_vle_assessment,Linear SVM,26074,6519,0.5279950912716674,0.8084061972695199,0.8784949948222299,0.7393957001743172,0.80296576747121,0.8851652256049787,0.9102366416679839,0.8124992800514095,2725,352,897,2545
repeated_stratified_student_group_train_test,42,day_56,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.8094799815922687,0.8585397653194263,0.7652527600232423,0.8092165898617512,0.8918490866897415,0.9185809528222727,0.812103143092544,2643,434,808,2634
repeated_stratified_student_group_train_test,42,day_56,demographic_vle_assessment,LightGBM,26074,6519,0.5279950912716674,0.810860561435803,0.8715102589976454,0.752760023242301,0.8077942322681216,0.890856265781037,0.9176371906299448,0.8143065634573545,2695,382,851,2591
repeated_stratified_student_group_train_test,42,day_56,demographic_vle_assessment,CatBoost,26074,6519,0.5279950912716674,0.8130081300813008,0.8781898604967676,0.7498547356188263,0.8089641122081178,0.8919530425452321,0.9186486964962812,0.8167538221480547,2719,358,861,2581
repeated_stratified_student_group_train_test,43,day_56,demographic_vle_assessment,Logistic Regression,26075,6518,0.5279226756673826,0.8005523166615526,0.8627583869874619,0.7399011915140947,0.7966207759699625,0.8811108696418016,0.909122766502083,0.8041397410284156,2672,405,895,2546
repeated_stratified_student_group_train_test,43,day_56,demographic_vle_assessment,Decision Tree,26075,6518,0.5279226756673826,0.7934949370972691,0.8610823853843502,0.7259517582098227,0.7877641122674235,0.8702141026828877,0.8987953126861513,0.7974900162514826,2674,403,943,2498
repeated_stratified_student_group_train_test,43,day_56,demographic_vle_assessment,Random Forest,26075,6518,0.5279226756673826,0.8017796870205585,0.8594847775175644,0.7465852949723918,0.7990668740279938,0.8885250950679153,0.9155541326317643,0.8050443536935408,2657,420,872,2569
