validation,seed,prediction_window,feature_group,model,n_train,n_test,test_at_risk_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
repeated_stratified_student_group_train_test,42,day_7,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.7073170731707317,0.7365823565700185,0.6937826844857641,0.7145421903052065,0.7789676154377372,0.8041911779170687,0.7081198115311498,2223,854,1054,2388
repeated_stratified_student_group_train_test,43,day_7,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.6894752991715251,0.7227287016661427,0.6681197326358617,0.6943521594684385,0.7665560976494332,0.7967319984823694,0.6907384493533549,2195,882,1142,2299
repeated_stratified_student_group_train_test,44,day_7,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.6941248657769596,0.7179409993979531,0.6929110981987217,0.705204021289178,0.7653777714243953,0.7971730197235347,0.6941968555666991,2140,937,1057,2385
repeated_stratified_student_group_train_test,45,day_7,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7020558453513348,0.7282972890648797,0.6948561464690497,0.7111838191552647,0.7716530205024444,0.7996149285684406,0.7024816968939334,2185,892,1050,2391
repeated_stratified_student_group_train_test,46,day_7,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.6963792574409328,0.7281523096129837,0.6780005812263877,0.7021820917983446,0.7678969606695607,0.7964149260337213,0.6974663289622351,2206,871,1108,2333
repeated_stratified_student_group_train_test,47,day_7,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.7009818962872046,0.7278558338423946,0.6925312409183377,0.7097542814594192,0.7731046697677371,0.802366563419545,0.7014817400561789,2186,891,1058,2383
repeated_stratified_student_group_train_test,48,day_7,demographic_vle_assessment,XGBoost,26074,6519,0.5279950912716674,0.6982666053075625,0.7285404400371862,0.6830331202789076,0.7050532313690209,0.7697357972790947,0.8029185190537872,0.6991701188004873,2201,876,1091,2351
repeated_stratified_student_group_train_test,49,day_7,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.6996011046333231,0.724765080327372,0.6948561464690497,0.7094955489614243,0.7728755887467242,0.8032918630437926,0.6998817618923083,2169,908,1050,2391
repeated_stratified_student_group_train_test,50,day_7,demographic_vle_assessment,XGBoost,26073,6520,0.5280674846625767,0.7016871165644172,0.7273831208257437,0.6959047342433924,0.7112958290040077,0.7736651994678931,0.8046640554585682,0.7020310151554954,2179,898,1047,2396
repeated_stratified_student_group_train_test,51,day_7,demographic_vle_assessment,XGBoost,26075,6518,0.5279226756673826,0.6931574102485425,0.7314487632508834,0.6617262423714037,0.6948428440646933,0.7581675577261978,0.7856090733643266,0.6950165173507977,2241,836,1164,2277
